policy,avg_reward,cum_reward,first100_avg_reward,avg_regret_vs_oracle,avg_wall_time_s,total_wall_time_s,sel_pct_dc0,sel_pct_dc1,sel_pct_dc2,sel_pct_dc3,sel_pct_dc4
Oracle Whittle,16.13917966350891,16139.179663508909,16.424236659559696,0.0,0.03876255200001688,0.15505020800006752,99.75,0.0,0.15,0.02,0.08
TW only,15.276196436738466,15276.196436738464,10.834483187237552,760.0361728762109,101.96939477074997,407.8775790829999,90.08,1.48,5.35,1.62,1.48
Local UCB + TW,14.68730536992231,14687.305369922311,8.53510923515951,1292.1168574628946,102.37772104174998,409.5108841669999,83.48,2.42,10.95,1.38,1.78
Global UCB + TW,15.360306944990338,15360.306944990338,13.357064486869497,626.9707563965846,100.96631354150001,403.86525416600006,89.62,0.82,3.02,1.18,5.35
(Local + Global + TW),15.464727443169618,15464.727443169617,13.751043134486116,531.8436443721113,100.90372370799999,403.61489483199995,91.28,0.78,5.8,0.6,1.55
