combined_PJM_5min_lmp
date,Data center,Latitude,Longitude,pnode_id,pnode_name,type,zone,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2026-06-11,Loudoun County Pkwy Data Center,39.01003,-77.46274,34964545,DOM,ZONE,NA,55.020376,49.68987,24.798744,46.329106,51.968309,79.557607,46.865694,60.723006,54.076899,65.96558,31.616588,47.180655,71.838087,63.063516,50.87999,48.258214,189.647765,102.524919,62.972241,20.022015,30.468375,23.009824,24.221277,24.094383,20.211168,21.008819,22.614138,22.020767,24.214689,23.620046,23.005365,29.797473,27.913971,25.416082,29.196471,30.306997,28.840792,30.440552,27.732692,30.29398,30.092598,30.039898,27.583285,30.56593,28.401424,29.410675,26.705398,27.245697,27.258918,30.05978,30.550221,31.079624,30.86274,30.089909,29.00313,30.245611,22.010126,22.397971,24.317613,24.90349,24.21802,27.7646,26.717565,61.788784,41.015831,44.835401,37.391053,35.426491,25.418565,31.663581,33.219904,27.455992,24.463657,26.690334,26.672766,30.323394,28.561215,28.166258,25.473217,25.742728,27.636928,30.521648,27.502221,26.698732,28.16506,29.702785,30.584973,30.203861,29.752943,33.034142,38.162178,39.501525,40.565334,43.39615,22.078527,30.006642,30.15075,44.807405,32.187972,37.214134,41.856887,41.799244,346.865791,295.096482,62.862935,72.691811,60.420789,301.820317,194.092595,198.748945,227.685088,200.928116,233.816176,273.295961,289.557025,275.622903,283.928996,350.760384,401.977465,361.973747,329.113518,314.001612,328.573119,270.842329,545.423542,584.477572,584.028483,552.510956,597.530738,539.383558,910.705858,705.18899,513.089037,54.792862,44.147746,57.716127,427.876062,431.161186,526.351268,440.468753,302.418678,284.478939,371.418085,631.811116,348.532932,588.272855,353.458489,305.071996,770.517993,777.172146,786.850302,497.308468,517.403983,517.921038,538.009584,491.812278,224.406358,369.388398,338.56462,282.355074,534.724828,542.221213,346.235404,572.633461,523.10669,352.204281,196.991186,158.183415,102.306844,154.037166,142.127012,95.009782,79.684994,127.38175,405.836727,435.707085,260.219026,247.834489,411.944263,394.812496,355.232542,197.13058,220.580634,220.580634,220.567722,177.147877,562.838491,516.735546,505.444091,498.006108,497.583773,184.953866,491.045479,498.832651,528.38929,493.696492,266.98653,198.626488,332.072946,602.295496,860.402665,1237.888846,1294.039778,1114.834787,1108.212295,1187.612789,1172.384392,1113.307396,1123.039902,1094.314703,1270.221332,1313.792906,1295.527113,1128.371352,1032.137889,1105.64557,1037.467559,1299.752764,1090.168624,535.554855,1027.904751,1091.394216,1215.92527,1415.924859,1181.117365,1227.963904,1133.389999,1091.192475,1170.072586,1102.171206,1107.305991,1091.233267,1210.730743,545.192895,447.276401,576.749012,535.626426,630.469779,551.131457,191.958159,352.88051,244.830377,324.107281,101.799765,133.588285,422.552119,101.208378,100.708992,101.448534,55.619237,53.181661,57.905786,80.04223,74.564603,51.697484,60.4748,44.467183,47.939023,41.339898,50.688486,47.885683,53.426594,45.679815,50.220194,39.149859,62.19442,60.356098,57.214835,55.763488,50.264959,59.926069,47.55085,38.362808,53.115414,29.90912,33.611788,45.452994,48.145854,38.626961,34.83716,32.67112,28.120473,29.42573,32.585203,33.503894,40.180656,33.38807,21.716204
2026-06-11,Viking Data Centers,41.050426,-81.4743,116013753,ATSI,ZONE,NA,80.228421,83.011128,60.784861,83.670083,91.089872,100.917755,80.279092,89.457999,86.014925,93.774281,67.271876,76.756211,93.665674,89.398568,82.986478,82.480497,172.652296,116.320247,86.436132,56.437645,64.889103,33.029999,60.684986,32.59881,25.682775,25.447807,25.938926,24.983634,30.535448,27.601923,25.254743,32.877811,32.21701,26.181819,27.380743,28.657217,29.246171,29.113896,28.26483,27.672577,28.282346,26.984352,27.181048,27.956074,28.639747,26.707618,26.575063,25.905048,27.612355,29.210181,31.221321,31.937157,32.184007,29.183857,28.330273,64.599031,23.452007,25.040351,26.648719,27.002919,26.516705,49.705702,31.199489,98.417122,74.995358,78.814401,73.494641,71.416555,61.344732,46.370136,67.785967,31.043957,25.356445,33.124751,33.082807,33.013077,32.911063,33.025087,25.00884,25.62239,32.880133,28.180893,26.248669,28.046953,28.748102,28.814879,30.360212,28.980278,29.19238,33.045578,35.707294,38.057413,39.222454,42.752187,22.010615,30.215924,29.958276,43.60206,31.672313,33.749303,33.300581,36.267943,93.835886,63.968496,32.309355,40.937369,37.954812,50.033681,39.461128,42.060658,43.635787,45.640789,47.52344,46.016229,60.905011,51.978251,63.190872,95.280267,161.630337,125.355027,109.616217,96.040342,87.832349,49.660157,80.168738,117.866054,117.840477,113.34523,160.160875,110.250769,433.78193,208.260083,126.441669,56.041873,44.31189,53.437944,124.036622,111.995618,174.127473,106.872519,74.366959,79.603657,149.792463,196.834159,115.924587,174.279129,96.847187,93.674583,297.331284,259.004427,269.334103,447.256355,424.560549,447.205445,491.813504,455.092957,167.264237,334.060157,266.651376,231.683311,371.074871,541.511021,314.51588,509.101662,439.195471,374.534841,199.686753,147.676754,95.993355,143.804645,139.305057,87.41145,75.846855,120.775288,392.396887,422.636856,136.883055,169.193781,400.171976,294.327348,213.03981,87.968979,98.954882,98.954882,99.027255,93.280183,546.877156,423.985326,432.629684,233.596826,119.913103,102.070524,126.527451,128.414631,150.564445,125.88444,117.870181,55.455342,120.51473,478.352752,504.74254,453.707547,399.032591,208.690998,272.247442,382.456077,366.68867,307.920494,330.260398,370.391628,557.731971,596.38334,588.061455,379.49297,310.201302,272.235701,294.346243,518.377093,366.021845,165.227861,311.841022,361.793385,501.454036,695.677742,391.439089,464.590511,377.934961,236.37991,367.790631,356.858298,318.758718,238.629873,359.419137,458.21079,402.826014,472.852304,450.955015,572.214259,498.244245,191.786,296.155428,268.662499,310.925901,218.791469,242.055754,421.003157,158.912699,156.879601,156.191007,127.743187,129.222792,131.9225,143.424081,144.583226,127.36477,129.857553,119.27002,110.255525,114.724699,83.067139,83.017571,85.842881,81.716899,87.673014,76.709647,91.786416,92.443973,92.714638,91.531745,86.255298,90.27738,85.245554,76.112359,84.869285,67.911378,71.171493,79.875759,81.248079,73.919859,71.313817,69.754473,65.877382,66.908936,67.878639,69.296885,72.428891,67.846505,59.088179
2026-06-11,New Albany Meta Data Center/Prometheus,40.06873,-82.75027,8445784,AEP,ZONE,NA,132.730449,133.73783,111.248554,134.208573,141.165512,154.202779,131.998303,142.141773,138.14782,146.638749,118.834664,129.419821,147.772593,142.316467,134.387354,134.005269,234.36967,171.568376,139.796052,107.102497,115.954953,47.00414,111.414649,45.909551,33.427031,33.13921,30.585082,31.755572,43.32789,32.459328,29.201254,40.474006,39.128766,28.958981,28.586191,28.765134,30.627724,29.21002,28.12483,28.575025,28.555002,27.494476,27.130109,28.378935,28.642974,27.133276,26.493075,26.119666,28.372411,30.090287,33.79707,34.897167,36.977041,29.346693,28.396518,115.721877,25.824296,28.305624,30.236184,29.966173,30.052986,80.896125,37.804473,149.044268,126.133781,129.969436,124.170125,122.130545,111.942861,67.965098,118.831684,38.182436,27.501581,42.577791,42.529818,36.596178,40.120028,40.076484,24.738152,26.105423,40.554834,28.756248,26.391426,29.864875,28.656255,28.560396,29.995064,28.701252,28.864004,32.542018,35.654896,37.751486,38.930321,42.249456,21.581775,29.582648,29.386905,43.242597,31.156672,31.378546,31.020699,34.197748,96.357179,64.045884,29.719552,42.790608,38.081963,46.843995,32.675061,35.590662,30.988946,40.956881,37.553433,43.864057,57.649366,52.180151,65.483044,89.863987,147.315951,115.842675,111.85837,95.094963,83.610317,46.900997,75.004248,109.705789,109.512848,120.215025,173.516093,108.798361,437.128196,236.162443,161.905693,49.266146,41.505536,55.017246,127.374058,119.356414,157.695379,95.569087,72.249149,97.072669,157.52337,190.412277,89.780682,127.377958,77.569171,102.19683,295.513385,282.924964,277.881675,417.141255,410.888388,418.637649,442.339482,393.790603,157.461011,302.589272,268.764978,187.960609,381.651854,502.41477,306.711699,413.189643,359.935722,281.81913,151.687597,118.60928,76.876713,113.5523,102.114401,68.326323,61.012575,96.683826,272.705168,298.848145,114.446634,128.298241,278.79873,213.567151,169.941143,73.644292,81.044144,81.044144,81.126992,80.84562,416.604971,354.862012,356.678608,188.862117,94.508686,82.631138,98.395927,100.418684,120.823529,98.733064,91.765932,46.098534,96.363042,406.662687,450.708528,453.803315,466.336975,285.801897,304.305567,391.651575,376.862192,318.759667,359.136016,378.141471,554.627294,596.905303,587.794907,365.529052,353.218763,230.792276,304.381633,443.40559,347.522694,226.967529,344.792671,347.898732,468.529963,684.616619,430.295043,468.680029,378.448377,379.321025,468.776822,398.315525,344.066773,387.177345,502.471719,510.476385,438.314374,532.001137,506.608935,554.301008,481.086254,168.185417,294.981501,299.70246,351.910461,237.337259,264.325997,526.375142,257.063327,255.825833,255.2125,221.96637,222.65114,226.131631,241.20952,240.816645,220.931319,226.100377,213.399886,196.602323,209.425844,131.550096,130.725688,133.845887,128.407264,134.124742,123.370905,140.41397,140.57216,140.171754,138.948333,133.759811,139.608469,131.984983,122.944479,132.912634,115.034273,118.232761,129.592303,130.918976,123.285582,120.650414,119.013747,114.990563,116.092466,117.252653,118.460041,122.311062,117.435862,108.498616
2026-06-11,Bitfarm Scrubgrass,41.26942,-79.81057,51300,PENELEC,ZONE,NA,42.027774,51.02714,31.360768,52.220582,60.863634,58.944535,45.486712,50.709472,49.503765,54.28897,34.362128,39.774629,48.681043,49.011898,48.549393,47.40681,95.245882,66.981182,45.236287,26.474917,33.25667,24.715515,30.655946,23.99175,21.078671,20.257599,23.116079,19.906808,21.36866,24.566863,22.71224,27.008593,27.71635,23.876321,25.159762,27.619677,28.129649,28.316853,28.189548,25.260256,27.003997,24.990346,27.0724,26.14472,28.320289,24.754687,26.562523,25.180599,27.176251,27.812925,28.999527,29.415094,28.117156,28.317399,27.786445,33.133836,22.097672,23.022454,24.613662,25.253939,24.431124,31.56335,27.306616,68.414627,43.762564,47.191332,43.798245,41.80547,31.804932,33.912975,38.544548,27.358303,24.271984,27.730675,27.666658,30.910702,28.952937,28.897603,25.221226,25.470815,28.3868,27.259927,26.528984,26.899185,28.561065,28.466797,30.433201,28.590043,28.924101,33.087064,33.646329,36.771946,37.949156,42.075684,22.202003,30.421631,29.988626,44.188855,32.04117,36.010697,35.220667,37.61495,70.452209,53.173675,32.820332,33.917042,35.542972,39.801154,37.140626,38.661278,45.94118,39.902274,44.838635,40.88112,55.109425,43.906201,52.735455,76.178371,159.994087,120.797287,93.950948,86.323015,70.735797,44.390349,64.889243,104.148474,104.086852,78.99415,123.496797,90.876139,417.277242,169.649154,85.955855,51.457163,44.460623,47.060849,109.532985,82.537963,152.313981,93.336116,58.96666,54.120783,129.183273,191.81752,127.203456,183.204919,106.447291,80.2221,261.906889,186.270634,197.520008,427.065164,380.938206,394.674549,430.813567,388.224463,143.572459,256.046971,215.276687,265.67555,317.725727,579.675743,236.720679,555.307987,492.345749,420.112064,236.304087,181.028228,117.810492,177.737156,169.583614,107.797483,88.948317,147.95571,425.165564,455.767204,136.569427,196.529822,433.014754,284.303684,231.066703,85.29283,95.258009,95.258009,95.29412,97.308796,580.216574,487.721972,503.933005,333.710867,234.580976,114.508369,206.278532,208.573629,229.826715,205.760838,137.808758,67.840046,156.644313,493.10546,550.426377,553.338362,497.638514,339.591651,369.860752,458.023563,443.441653,394.516168,414.743064,458.382054,645.370914,697.397153,672.466604,506.266221,402.572201,363.162964,395.488937,637.770985,461.98826,212.356854,366.805448,456.430646,578.467106,766.578487,471.081924,524.422747,437.136982,304.819964,416.130444,362.484117,337.689919,298.054411,453.069928,361.537539,326.044619,362.764342,357.27882,431.51061,356.473474,105.664918,154.020803,129.700297,145.788564,105.31074,121.330446,249.845657,84.024461,80.1912,78.729623,65.211946,64.893115,67.511788,76.010442,84.140972,65.98704,66.952117,58.248353,51.041108,54.316935,49.370142,53.056833,52.932911,50.661689,56.925021,46.09819,55.422641,58.732106,62.990963,61.852627,56.368704,55.877238,54.591646,45.794379,49.806243,37.236014,40.657225,46.020822,47.368028,41.781091,39.947054,39.034301,35.848701,36.875347,36.533461,38.399096,39.01687,36.191717,28.986756
2026-06-11,Bitfarm Bitcoin Panther Creek,40.8556,-75.8781,51299,PPL,ZONE,NA,21.050771,41.60124,26.885884,44.811261,55.490968,30.577912,32.386958,30.15779,33.385271,32.423183,24.977507,22.493372,17.785841,26.017417,35.942778,34.474221,1.697336,25.788808,19.684514,22.024096,25.593308,23.186944,26.144916,21.146462,20.104589,17.982028,22.348657,16.723553,16.497359,23.672005,21.37879,22.776322,25.674528,21.630119,21.121054,24.803489,26.594223,25.819984,27.471354,20.422634,23.843001,20.474794,26.207671,22.162562,27.485942,20.555174,26.053579,23.241531,26.606149,25.451922,26.896808,27.169375,24.662066,26.354283,26.368364,25.357322,21.574574,22.365669,23.980763,24.622129,23.768941,28.680656,26.358735,61.341817,35.561084,38.766849,38.997326,37.057708,27.237231,31.662581,33.995693,26.506642,23.739242,26.579227,26.525195,30.131925,28.052935,27.872819,24.795706,25.028584,27.318443,24.852125,26.206776,26.245977,27.979144,26.981833,29.819963,27.006735,27.761579,32.448128,28.946852,33.434628,34.645149,39.726135,21.768158,29.799546,28.979594,43.517199,31.464755,36.722606,35.499554,36.269255,22.605393,33.567403,30.064234,20.67444,30.451663,19.343211,26.636017,26.221652,37.280784,24.418627,28.450996,31.846512,44.224069,32.625256,39.263337,32.592817,146.612627,106.252299,68.66538,71.10976,32.964818,34.764203,39.102514,77.868444,77.74838,35.156329,88.932645,68.498314,391.211367,127.799504,54.298148,38.254024,42.543985,38.583455,98.301706,42.158426,92.292472,58.404065,28.019544,37.354219,113.786031,190.837577,127.374194,178.475433,105.708012,75.767984,188.88838,37.914067,49.950927,355.264123,257.080916,270.20243,302.402105,259.791701,74.38739,120.405971,109.551002,266.135512,199.824638,624.832922,105.392803,591.000466,532.344862,459.323853,266.724859,207.315249,134.886609,204.328747,193.412597,123.671985,99.531639,169.732605,453.227904,483.705852,101.338092,216.028858,460.8814,222.003068,198.32379,58.044415,57.9956,57.9956,58.005513,97.347132,611.295578,537.280432,560.342193,437.665438,365.309152,121.946997,373.2848,377.662914,411.901398,371.775236,197.716552,101.379117,250.587735,646.1033,787.144532,911.194598,886.203039,701.353893,730.708399,824.277328,808.504693,752.777821,773.367256,830.919043,1015.706544,1071.54676,1045.800718,876.461918,769.19412,727.073364,773.957777,1016.352914,841.939868,419.206914,702.698899,831.46055,955.146164,1155.53424,809.403015,868.74695,776.447864,582.45061,688.579985,641.278222,619.196239,576.437535,694.634445,253.87167,262.041583,231.62921,261.851219,284.922716,208.385339,65.380454,8.050208,35.047522,-11.349832,53.595717,57.574309,98.96637,61.164606,54.336803,47.627781,56.391341,53.738837,62.030351,55.986681,76.681158,57.577654,54.430748,49.485845,35.076904,45.749689,38.484139,48.860555,43.120791,44.851164,52.081423,41.280332,39.422652,46.910057,57.811975,56.680945,51.181014,42.187023,48.888657,40.514473,35.359007,32.160473,35.604091,34.387114,34.125688,32.05418,31.933869,32.234941,30.323253,31.253217,27.855789,30.374786,25.985879,26.882454,23.699771
