NYISO_zone_lmp_5min
Date,Data center,Latitude,Longitude,Load Zone,PTID,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2026-06-11,Orangeburg Data Center,41.0345,-73.9758,CENTRL,61754,61.74,65.64,65.15,67.36,69.22,68.4,70.01,59.65,58.73,60.7,60.76,62.16,72.43,60.85,60.88,61.21,71.78,71.85,68.3,68.45,60.81,60.13,59.64,58.62,59.34,58.21,57.03,60.5,60.62,60.81,60.86,60.48,60.11,60.43,61.05,60.81,58.91,56.76,55.71,60.06,60.12,60,57.78,83.46,69.78,65.08,71.64,59.84,58.05,58.43,58.43,55.53,55.58,54.15,55.91,55.51,56.5,56.07,55.74,55.53,56.69,59.63,59.63,57.24,56.54,66.3,57.42,74.27,70.32,71.15,80.96,67.88,67.24,137.33,86.79,63.43,69.64,69.99,69.45,69.21,70.34,68.44,68.37,83.93,55.46,87.39,82.74,71.65,71.3,70.27,70.33,72.32,70.34,72.17,85.61,75.41,74.54,74.85,82.48,82.59,93.09,91.41,91.39,91.99,101.18,91.68,90.03,84.82,84.78,90.18,108.02,107.22,107.22,111.92,107.46,115.49,116.86,73.5,91.83,98.77,64.23,61.95,61.91,64.97,69.8,85.27,69.07,68.92,69.81,65.67,67.01,69.28,67.72,100.09,95.37,95.37,99.59,96.96,102.98,130.41,149.75,88.46,106.92,88.54,88.19,105.71,105.16,101.97,107.48,107.35,110.49,112.71,113.02,110.81,107.37,107.24,110.94,111.98,111.85,111.85,112.12,110.86,101.42,98.97,110.86,155.03,222.99,172.41,111.61,290.38,274.82,274.82,302.1,346.26,302.42,291.82,346.28,281.36,216.86,298.75,221.86,151.56,236.43,177.32,156.07,156.07,165.78,165.63,190.46,273.11,291.52,261.81,294.38,292.36,182.19,70.62,70.17,64.9,281.67,316.34,378.97,593.53,586.7,573.75,552.58,552.58,567.88,567.88,582.13,576.04,568.22,556.27,554.98,557.33,557.33,561.92,550.64,344.27,310.45,186.46,96.96,76.71,61.6,68.17,78.01,67.41,55.7,59.33,83.38,92.85,93.39,69.35,64.45,66.5,66.06,75.24,66.11,65.09,55.97,54.6,64.99,59.61,60.18,73.92,76.47,82.81,77.07,89.32,126.88,239.56,231.06,336.55,560.32,115.67,115.14,87.37,78.62,78.29,74.1,71.85,61.81,59.83,66.12,65.51,97.87,97.08,82.46,73.53,69.83,77.58,72.94,64.61,63.35,60.34,55.14,57.8,114.2,85.53,67.92,78.62,73.63,73.06,70.39,69.71,70.67,69.98,63.86,68.79
2026-06-11,Global AI,42.104294,-76.04444,HUD VL,61758,64.03,59.91,59.37,59.78,61.02,60.96,62.5,61.37,60.5,62.53,62.58,63.96,74.61,62.69,62.65,62.75,73.8,73.8,70.16,70.46,62.7,62.13,61.81,60.75,61.5,60.15,59.05,62.65,62.7,62.71,62.71,62.25,61.87,62.2,62.65,62.65,60.81,58.36,57.22,61.56,61.63,61.56,59.47,85.75,73.58,66.98,73.59,62.46,60.45,61.02,60.96,57.16,57.22,56.19,57.55,57.22,58.9,58.47,57.98,57.22,58.4,61.62,61.62,59.16,58.47,58.6,58.96,68.01,61.94,62.71,74.81,69.9,59.41,125.37,77.96,57.16,62.53,62.52,61.68,61.37,62.58,61.68,61.62,75.59,48.8,79.32,74.33,64.36,64.13,62.4,62.4,63.93,62.34,64.06,76.74,67.65,66.08,66.67,75.04,74.88,84.29,82.97,82.88,83.49,92.32,82.86,81.97,77.07,76.92,82.43,99.75,98.91,98.91,103,102.67,108.42,108.42,76.29,87.71,92.3,64.5,64.29,64.63,68.19,73,89.02,71.9,71.66,73.35,68.56,70.02,72.39,70.28,104.97,100.33,100.33,104.97,101.81,108.23,136.66,157.39,93.06,113.37,93.06,93.06,111.33,111.52,108.02,114.09,113.71,116.6,117.87,117.94,116.49,113.97,113.84,117.76,118.39,118.12,118.7,119.57,117.88,107.85,105.03,117.99,164.66,229.54,182.78,118.08,308.77,291.65,291.65,319.97,366.7,320.58,308.13,366.36,296.8,227.84,315.41,233.73,160.24,250.76,188.97,339.96,339.96,349.94,350.31,376.82,439.38,347.37,344.6,375.72,309.78,189.6,98.7,99.32,97.88,295.03,368.35,385.93,603.61,603.59,656.63,584.78,584.78,592.38,592.38,600.25,599.6,592.26,581.33,585.06,587.54,587.54,592.97,579.99,373.94,328.61,203.17,91.83,73.13,57.93,64.84,75.3,67.1,54.75,54.43,77.88,87.14,86.9,65.68,61.74,61.72,61.2,69.35,61.31,61.05,54.91,53.29,61.13,54.18,54.43,65.21,78.94,72.87,76.55,89.48,118.83,226.98,228.96,343.45,581.01,106.61,106.32,94.87,94.12,93.82,90.1,88.12,79.07,77.37,72.11,73.64,98.16,97.89,90.34,81.5,79.93,78.7,74.36,66.65,65.49,60.69,59.67,57.57,105.41,77.01,70.97,71.11,66.06,65.41,64.46,64.09,63.58,63.14,57.38,63.49
2026-06-11,LGA1,40.717728,-74.00832,N.Y.C.,61761,64.27,60.37,59.83,60.13,61.43,61.38,62.87,61.68,60.85,62.83,62.83,64.08,74.76,62.87,62.83,62.87,73.94,73.95,70.23,70.52,62.83,62.38,62.05,61.05,61.74,60.38,59.28,62.83,62.83,62.83,62.83,62.37,62,62.38,62.83,62.83,60.99,58.59,57.38,61.68,61.75,61.68,59.58,85.91,73.73,67.04,73.66,62.53,60.57,61.14,61.14,57.27,57.39,56.36,57.72,57.44,59.07,58.64,58.14,57.39,58.52,61.74,61.68,59.27,58.64,58.71,59.08,68.14,62,62.77,74.89,68.19,59.58,125.73,78.11,57.43,62.83,62.77,61.92,61.61,62.83,61.98,61.92,76.03,49.27,79.93,74.83,64.8,64.63,62.83,62.88,64.29,62.88,64.5,76.77,68.01,66.49,67.31,75.24,75.01,84.21,83.79,83.77,84.38,92.1,82.93,82.13,77.37,77.23,82.58,100.59,99.77,99.77,103.76,103.62,109.22,110.09,77.47,89.14,93.81,65.56,65.41,65.81,69.5,74.26,90.56,73.28,73.04,74.68,69.93,71.41,73.77,71.62,106.77,101.72,101.72,106.15,103.16,109.32,138.78,159.85,94.47,115.52,94.47,94.55,113.25,113.44,109.98,116.06,115.67,118.6,119.79,119.86,118.51,115.94,115.8,119.79,120.41,120.15,120.72,121.72,119.88,109.69,106.72,119.89,167.46,233.67,185.88,119.87,313.44,295.8,295.8,324.84,371.58,325.13,312.53,371.54,301.03,230.86,320.16,237.67,163.1,255.23,192.51,377.44,377.44,387.59,518.14,458,521.09,395.82,400.39,409.96,320.46,196.82,115.72,112.39,106.85,299.41,418.1,398.37,619.32,619.35,704.62,599.77,599.77,609.11,609.11,617.13,619.45,608.84,597.68,601,603.67,603.67,610.03,594.26,386.79,338.66,220.58,105.71,93.82,89.72,89.78,93.51,89.83,86.77,74.44,215.56,380.77,196.57,98.63,88.65,88.65,87.3,88.72,86.3,77.81,77.31,74.44,73.94,73.76,73.84,76.94,83.97,81.97,87.16,100.32,126.93,237.17,238.53,357.44,586.48,107.62,107.51,92.91,89.86,89.62,85.93,83.93,74.8,73.13,69.97,71.47,97.51,97.22,88.37,81.16,79.89,79.88,73.48,65.85,64.73,66.55,61.9,59.17,106.52,79.01,71.64,71.79,66.7,66.04,65.96,65.63,64.31,63.98,58.15,63.98
2026-06-11,BlockFusion aka North East Data Center LLC,43.083187,-79.00317,WEST,61752,58.8,38.77,38.47,35.7,37.39,38.77,38.44,56.58,55.67,57.47,57.53,58.82,68.35,57.3,57.39,58.08,67.66,67.8,64.66,64.66,57.26,56.68,56.15,55.25,55.98,54.93,53.69,56.89,57,57.37,57.61,57.37,57.08,57.38,57.98,57.44,55.53,53.63,52.69,56.8,56.91,56.68,54.46,78.58,64.21,61.21,67.45,55.66,54.04,54.37,54.56,52.39,52.39,50.74,52.69,52.31,52.74,52.25,52.02,52.29,53.37,56.07,56.07,53.77,53.25,34.25,54.49,46.69,37.09,37.6,52.77,40.25,34.74,82.95,48.46,36.6,39.03,36.91,36.64,36.5,37.21,38.12,38.04,46.63,26.97,48.45,45.51,40.38,40.16,37.47,37.53,39.03,37.5,38.81,48.16,43.14,40.56,40.87,48.33,48.51,54.34,53.24,53.25,53.32,59.73,53.47,53.54,48.43,48.57,53.68,64.71,64.62,64.62,67.86,75.56,75.36,71.67,71.27,65.2,65.16,56.19,60.19,59.83,62.35,66.87,82.14,66.86,66.86,66.85,63.37,64.6,66.86,66.18,96.1,91.18,91.18,95.3,93.08,98.96,125.59,144.05,85.18,101.75,85.44,84.74,101.57,100.29,97.34,102.49,102.49,102.13,102.44,102.53,102.19,102.28,102.27,106.25,107.59,107.92,107.8,107.6,106.52,97.75,95.59,106.73,149.56,192.44,166.48,108.36,281.02,265.13,265.13,290.88,334.14,291.53,282.49,334.86,273.5,211.45,288.92,217.03,147.95,227.97,170.77,150.46,150.46,160.01,159.69,184.04,179.95,192.79,173.86,285.29,283.37,167.78,67.96,67.32,62.36,260.57,285.76,329.94,523.49,540.88,540.55,529.35,529.35,528.39,528.39,525.1,528.16,528.55,530.25,531.43,533.69,533.69,535.29,526.76,326.2,285.98,165.54,56.21,46.18,34.75,41.22,50.45,42.04,29.69,29.51,45.43,51.54,52.07,41.88,41.77,36.43,36.08,39.83,35.94,37.92,39.28,37.32,37.65,29.08,29.78,30.16,40.28,37.07,32.03,43.05,74.79,151.84,178.14,292.53,530.96,69.4,67.86,47.06,33.14,32.9,30.52,29.28,23.76,22.59,25.99,32.15,55.42,53.96,44.68,38.66,42.08,41.8,38.82,33.03,32.13,29.92,26.2,28.25,67.8,47.81,64.58,43.5,40.23,39.8,43.91,43.07,38.34,37.92,33.47,42.68
2026-06-11,North Tonawanda Data Center,43.06086,-78.85376,WEST,61752,58.8,38.77,38.47,35.7,37.39,38.77,38.44,56.58,55.67,57.47,57.53,58.82,68.35,57.3,57.39,58.08,67.66,67.8,64.66,64.66,57.26,56.68,56.15,55.25,55.98,54.93,53.69,56.89,57,57.37,57.61,57.37,57.08,57.38,57.98,57.44,55.53,53.63,52.69,56.8,56.91,56.68,54.46,78.58,64.21,61.21,67.45,55.66,54.04,54.37,54.56,52.39,52.39,50.74,52.69,52.31,52.74,52.25,52.02,52.29,53.37,56.07,56.07,53.77,53.25,34.25,54.49,46.69,37.09,37.6,52.77,40.25,34.74,82.95,48.46,36.6,39.03,36.91,36.64,36.5,37.21,38.12,38.04,46.63,26.97,48.45,45.51,40.38,40.16,37.47,37.53,39.03,37.5,38.81,48.16,43.14,40.56,40.87,48.33,48.51,54.34,53.24,53.25,53.32,59.73,53.47,53.54,48.43,48.57,53.68,64.71,64.62,64.62,67.86,75.56,75.36,71.67,71.27,65.2,65.16,56.19,60.19,59.83,62.35,66.87,82.14,66.86,66.86,66.85,63.37,64.6,66.86,66.18,96.1,91.18,91.18,95.3,93.08,98.96,125.59,144.05,85.18,101.75,85.44,84.74,101.57,100.29,97.34,102.49,102.49,102.13,102.44,102.53,102.19,102.28,102.27,106.25,107.59,107.92,107.8,107.6,106.52,97.75,95.59,106.73,149.56,192.44,166.48,108.36,281.02,265.13,265.13,290.88,334.14,291.53,282.49,334.86,273.5,211.45,288.92,217.03,147.95,227.97,170.77,150.46,150.46,160.01,159.69,184.04,179.95,192.79,173.86,285.29,283.37,167.78,67.96,67.32,62.36,260.57,285.76,329.94,523.49,540.88,540.55,529.35,529.35,528.39,528.39,525.1,528.16,528.55,530.25,531.43,533.69,533.69,535.29,526.76,326.2,285.98,165.54,56.21,46.18,34.75,41.22,50.45,42.04,29.69,29.51,45.43,51.54,52.07,41.88,41.77,36.43,36.08,39.83,35.94,37.92,39.28,37.32,37.65,29.08,29.78,30.16,40.28,37.07,32.03,43.05,74.79,151.84,178.14,292.53,530.96,69.4,67.86,47.06,33.14,32.9,30.52,29.28,23.76,22.59,25.99,32.15,55.42,53.96,44.68,38.66,42.08,41.8,38.82,33.03,32.13,29.92,26.2,28.25,67.8,47.81,64.58,43.5,40.23,39.8,43.91,43.07,38.34,37.92,33.47,42.68
