combined_ISONE_5min_lmp
Date,Data Center,Latitude,Longitude,location_id,Load Zone,00:00:00,00:05:00,00:10:00,00:15:00,00:20:00,00:25:00,00:30:00,00:35:00,00:40:00,00:45:00,00:50:00,00:55:00,01:00:00,01:05:00,01:10:00,01:15:00,01:20:00,01:25:00,01:30:00,01:35:00,01:40:00,01:45:00,01:50:00,01:55:00,02:00:00,02:05:00,02:10:00,02:15:00,02:20:00,02:25:00,02:30:00,02:35:00,02:40:00,02:45:00,02:50:00,02:55:00,03:00:00,03:05:00,03:10:00,03:15:00,03:20:00,03:25:00,03:30:00,03:35:00,03:40:00,03:45:00,03:50:00,03:55:00,04:00:00,04:05:00,04:10:00,04:15:00,04:20:00,04:25:00,04:30:00,04:35:00,04:40:00,04:45:00,04:50:00,04:55:00,05:00:00,05:05:00,05:10:00,05:15:00,05:20:00,05:25:00,05:30:00,05:35:00,05:40:00,05:45:00,05:50:00,05:55:00,06:00:00,06:05:00,06:10:00,06:15:00,06:20:00,06:25:00,06:30:00,06:35:00,06:40:00,06:45:00,06:50:00,06:55:00,07:00:00,07:05:00,07:10:00,07:15:00,07:20:00,07:25:00,07:30:00,07:35:00,07:40:00,07:45:00,07:50:00,07:55:00,08:00:00,08:05:00,08:10:00,08:15:00,08:20:00,08:25:00,08:30:00,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,09:00:00,09:05:00,09:10:00,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00,15:30:00,15:35:00,15:40:00,15:45:00,15:50:00,15:55:00,16:00:00,16:05:00,16:10:00,16:15:00,16:20:00,16:25:00,16:30:00,16:35:00,16:40:00,16:45:00,16:50:00,16:55:00,17:00:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,18:00:00,18:05:00,18:10:00,18:15:00,18:20:00,18:25:00,18:30:00,18:35:00,18:40:00,18:45:00,18:50:00,18:55:00,19:00:00,19:05:00,19:10:00,19:15:00,19:20:00,19:25:00,19:30:00,19:35:00,19:40:00,19:45:00,19:50:00,19:55:00,20:00:00,20:05:00,20:10:00,20:15:00,20:20:00,20:25:00,20:30:00,20:35:00,20:40:00,20:45:00,20:50:00,20:55:00,21:00:00,21:05:00,21:10:00,21:15:00,21:20:00,21:25:00,21:30:00,21:35:00,21:40:00,21:45:00,21:50:00,21:55:00,22:00:00,22:05:00,22:10:00,22:15:00,22:20:00,22:25:00,22:30:00,22:35:00,22:40:00,22:45:00,22:50:00,22:55:00,23:00:00,23:05:00,23:10:00,23:15:00,23:20:00,23:25:00,23:30:00,23:35:00,23:40:00,23:45:00,23:50:00,23:55:00
2026-06-11,First Light Data Center,42.928246,-71.46393,4002,.Z.NEWHAMPSHIRE,69.9,86.13,92.53,92.61,87.37,109.77,109.77,110.25,109.64,109.64,109.58,109.58,95.73,95.73,100.74,100.74,76.07,76.07,73.9,73.9,52.71,45.76,53.68,50.28,50.28,192.52,192.52,192.52,192.61,192.61,129.53,44.99,44.99,187.58,191.94,191.94,75.95,76.67,76.67,75.93,75.93,59.35,46.8,46.81,46.81,50.82,44.06,44.06,50.92,50.09,49.3,49.3,56.46,58.16,58.16,64.64,71.9,71.9,59.31,75.82,75.82,75.82,43.88,50.14,50.14,49.43,49.43,50.07,50.07,58.18,59.26,54.35,54.35,41.82,49.28,49.28,69.42,79.43,79.43,99.23,99.23,100.43,79.58,99.3,99.3,100.97,101.1,101.1,154.67,154.67,113.73,113.78,113.55,113.55,99.64,92.14,92.14,112.7,112.7,112.7,85.5,85.33,85.33,85.19,75.68,75.68,84.98,67.93,67.93,74.91,68.19,68.19,59.17,60.68,60.68,63.84,63.33,63.33,65.29,65.29,65.29,67.53,66.22,66.22,64.89,64.89,66.77,66.73,66.93,66.93,68.55,75.69,75.69,75.69,191.07,191.07,191.07,78.81,104.98,104.43,104.43,105.16,146.81,149.61,149.61,68.66,46.29,46.29,40.37,40.37,42.83,42.85,42.85,44.48,44.02,29.66,29.66,26.94,2.39,2.39,2.46,2.44,2.44,2.44,1.83,1.83,1.83,56.72,24.2,37.39,45.76,45.76,46.86,46.86,48.33,78.36,78.36,78.36,78.36,78.36,216.14,277.3,258.05,258.05,116.93,116.66,196.09,254.76,254.82,254.82,196.65,159.4,159.4,134.32,134.32,134.32,135.35,190.71,190.71,192.09,174.52,174.52,198.72,248.22,248.22,69.64,51.97,51.97,61.48,61.89,61.89,64.42,70.64,70.64,76.63,76.63,76.63,67.78,53.72,48.96,53.72,54.08,57.07,57.78,65.3,74.95,74.95,75.1,75.1,81.89,81.23,81.23,85.11,85.04,95.71,92.69,97.54,132.41,132.49,97.45,97.45,97.45,164.93,164.93,119.86,229.53,145.7,120.25,120.27,120.27,119.45,119.3,119.3,193.13,163.88,163,167.41,167.41,137.63,194.17,164.04,143.76,142.6,142.61,127.2,142.67,142.63,142.63,159.91,163.51,164.28,143.88,143.72,143.72,143.86,143.58,143.58,86.43,220.31,220.08,219.32,236.54,221.36,221.36,199.98,199.27,173.39,129.76
2026-06-11,Medford Data Center,42.40601,-71.0752,4008,.Z.NEMASSBOST,70.61,102.03,111.22,111.43,103.98,110.91,110.91,111.25,110.62,110.62,110.5,110.5,96.53,96.53,101.7,101.7,76.72,76.72,74.5,74.5,53.18,46.18,54.21,50.77,50.77,194.39,194.39,194.39,194.5,194.5,164.73,45.5,45.5,189.69,194.15,194.15,76.86,77.58,77.58,76.85,76.85,60.08,47.37,47.39,47.39,51.52,44.66,44.66,51.6,50.77,49.96,49.96,57.32,59.01,59.01,65.57,72.93,72.93,60.15,76.89,76.89,76.89,44.49,50.81,50.81,50.1,50.1,50.78,50.78,58.98,60.06,55.05,55.05,42.35,49.91,49.91,70.33,80.47,80.47,100.33,100.33,101.71,80.51,100.51,100.51,102.11,102.21,102.21,156.37,156.37,115.05,115.09,114.84,114.84,100.78,93.18,93.18,113.98,113.98,113.98,86.58,86.42,86.42,86.31,76.64,76.64,86.1,68.78,68.78,75.84,76.75,76.75,71.53,71.16,71.16,76.72,76.72,76.72,79.44,79.44,79.44,81.37,80.5,80.5,77.4,77.4,80.64,80.62,80.81,80.81,83.88,93.92,93.92,93.92,258.41,258.41,258.41,98.66,135.9,135.24,135.24,136.71,197.03,201.12,201.12,84.36,79.23,79.23,74.69,74.69,77.73,77.76,77.76,84.01,86.03,78.01,78.01,74.03,72.13,72.13,72.21,72.48,72.48,72.48,71.46,71.46,71.46,57.25,70.18,70.05,79.08,79.08,82.91,82.91,85.03,78.94,78.94,78.94,78.94,78.94,275.4,361.19,353.86,353.86,153.19,153.09,266.31,351.55,351.19,351.19,266.76,213.57,213.57,177.93,177.93,177.93,179.5,258.24,258.24,193.81,176.01,176.01,200.57,250.53,250.53,70.26,56.47,56.47,62.31,62.67,62.67,65.22,71.53,71.53,77.57,77.57,77.57,68.51,54.31,49.52,54.31,54.8,57.85,58.55,66.13,75.87,75.87,75.91,75.91,82.78,82.08,82.08,85.85,85.76,96.39,93.37,98.19,133.32,133.35,98.05,98.05,98.05,166.15,166.15,120.7,230.94,147.06,121.27,121.27,121.27,120.39,120.24,120.24,194.64,165.17,164.13,168.25,168.25,138.18,194.95,164.75,144.37,142.99,143.01,127.62,143.11,143.08,143.08,160.63,164.47,165.6,145.01,144.85,144.85,145.05,144.83,144.83,87.22,222.22,222.29,221.56,239.24,223.82,223.82,202.12,201.45,175.3,131.15
2026-06-11,Markely Data Center,42.6302,71.304825,4008,.Z.NEMASSBOST,70.61,102.03,111.22,111.43,103.98,110.91,110.91,111.25,110.62,110.62,110.5,110.5,96.53,96.53,101.7,101.7,76.72,76.72,74.5,74.5,53.18,46.18,54.21,50.77,50.77,194.39,194.39,194.39,194.5,194.5,164.73,45.5,45.5,189.69,194.15,194.15,76.86,77.58,77.58,76.85,76.85,60.08,47.37,47.39,47.39,51.52,44.66,44.66,51.6,50.77,49.96,49.96,57.32,59.01,59.01,65.57,72.93,72.93,60.15,76.89,76.89,76.89,44.49,50.81,50.81,50.1,50.1,50.78,50.78,58.98,60.06,55.05,55.05,42.35,49.91,49.91,70.33,80.47,80.47,100.33,100.33,101.71,80.51,100.51,100.51,102.11,102.21,102.21,156.37,156.37,115.05,115.09,114.84,114.84,100.78,93.18,93.18,113.98,113.98,113.98,86.58,86.42,86.42,86.31,76.64,76.64,86.1,68.78,68.78,75.84,76.75,76.75,71.53,71.16,71.16,76.72,76.72,76.72,79.44,79.44,79.44,81.37,80.5,80.5,77.4,77.4,80.64,80.62,80.81,80.81,83.88,93.92,93.92,93.92,258.41,258.41,258.41,98.66,135.9,135.24,135.24,136.71,197.03,201.12,201.12,84.36,79.23,79.23,74.69,74.69,77.73,77.76,77.76,84.01,86.03,78.01,78.01,74.03,72.13,72.13,72.21,72.48,72.48,72.48,71.46,71.46,71.46,57.25,70.18,70.05,79.08,79.08,82.91,82.91,85.03,78.94,78.94,78.94,78.94,78.94,275.4,361.19,353.86,353.86,153.19,153.09,266.31,351.55,351.19,351.19,266.76,213.57,213.57,177.93,177.93,177.93,179.5,258.24,258.24,193.81,176.01,176.01,200.57,250.53,250.53,70.26,56.47,56.47,62.31,62.67,62.67,65.22,71.53,71.53,77.57,77.57,77.57,68.51,54.31,49.52,54.31,54.8,57.85,58.55,66.13,75.87,75.87,75.91,75.91,82.78,82.08,82.08,85.85,85.76,96.39,93.37,98.19,133.32,133.35,98.05,98.05,98.05,166.15,166.15,120.7,230.94,147.06,121.27,121.27,121.27,120.39,120.24,120.24,194.64,165.17,164.13,168.25,168.25,138.18,194.95,164.75,144.37,142.99,143.01,127.62,143.11,143.08,143.08,160.63,164.47,165.6,145.01,144.85,144.85,145.05,144.83,144.83,87.22,222.22,222.29,221.56,239.24,223.82,223.82,202.12,201.45,175.3,131.15
