combined_CAISO_lmp
OPR_DT,Data Center,Latitude,Longitude,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2026-06-11,EdgeConneX Edge Data Center,38.59231,-121.277,HURLEYS_2_N025,HURLEYS_2_N025,DAM,LMP,28.57538,28.61601,27.47272,27.47277,28.34607,30.86379,29.46758,16.60434,13.75495,13.35641,12.82276,14.01532,16.72076,18.70742,23.11294,26.97759,28.11982,31.42502,46.53582,62.58766,56.69941,46.59682,39.63469,30.49078
2026-06-11,EdgeCore Data Center,37.38413,-121.965744,JULIETTE_6_N002,JULIETTE_6_N002,DAM,LMP,29.9304,29.9356,28.62978,28.44854,29.48037,32.38876,31.66608,31.69295,27.12788,29.88412,34.865,33.94824,44.01964,58.80816,65.65723,84.61269,83.36004,99.99439,91.3575,100.99355,83.32851,59.81415,42.2799,32.43007
2026-06-11,Nautilus Data Technology,37.96411,-121.369,CHANNEL_6_N001,CHANNEL_6_N001,DAM,LMP,28.24663,28.22385,26.96427,26.94778,27.80728,30.49644,29.74755,17.44585,14.35042,13.84515,13.36244,14.65015,17.44248,19.57284,24.33599,29.08304,30.37863,34.281,51.2708,69.73068,61.73617,51.05965,41.26263,30.30148
2026-06-11,ECL,37.39589,-122.047,MTVIEW_1_N005,MTVIEW_1_N005,DAM,LMP,29.13283,29.15988,27.88498,27.79161,28.70337,31.53984,30.7024,33.26874,26.9939,26.23926,21.74305,25.44338,29.79333,32.48764,37.45762,43.7354,40.16007,36.00768,44.61929,60.98457,55.11315,46.68612,39.68316,31.08424
2026-06-11,Cerebras Systems Data Center,37.38112,-121.993,LAWRENCE_1_N006,LAWRENCE_1_N006,DAM,LMP,29.25575,29.27437,27.99766,27.9153,28.84233,31.67567,30.83796,33.38291,27.09292,26.33808,22.03352,25.80427,30.21925,32.67666,37.97463,44.38578,40.50938,36.3327,45.00402,61.49783,55.49593,46.92024,39.87202,31.25516
