caiso_25nodelmp_at5dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Data Center,Latitude,Longitude,NODE,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
2026/6/12,EdgeConneX Edge Data Center,38.59231,-121.277,HURLEYS_2_N021,-0.2970432,-0.8756108,-0.7823656,-0.1509636,-0.0550988,0.1397292,0.4452552,0.9899568,1.9224984,7.4116724,8.2928784,9.4641552,3.3478044,5.1033204,5.9654064,8.2633312,7.1305776,7.6051952,7.2138472,10.5674648,12.2623464,14.246244,15.3707544,16.776008,7.1505184,8.5464272,10.7105148,11.6466376,13.8136268,25.5872216,30.2006048,31.6037308,19.54379,24.4134176,25.0254336,30.0585884,16.7334344,16.7930048,18.4763764,19.0589168,18.23548,18.7618344,16.8907928,17.4570008,17.755094,17.3377396,17.3847352,15.0679216,21.0610192,21.0610192,21.5771232,21.7374548,21.6984572,20.0396764,18.3375412,17.3995944,10.9150772,10.4048352,9.67413,10.9024088,14.0464212,12.7615196,12.8553796,13.2525892,14.0382712,13.935772,13.867548,14.0854552,14.1043768,14.1116096,14.3868736,14.3386196,14.305938,15.5689428,13.6978604,15.9336116,15.545268,16.6549696,15.9506036,15.0201088,14.7594064,13.8907924,15.486768,15.825332,15.47596,14.4958256,14.8754728,14.85659,14.85659,14.9731148,15.8249592,15.3326236,15.427716,14.9902232,14.6546244,14.1408688,14.8625256,14.8625256,13.9196252,14.1337772,13.799502,12.82167,12.8874472,11.4862532,11.123438,11.047284,11.116004,10.9008312,13.8500488,13.9122416,13.8394848,14.3169432,13.9746888,14.2277644,13.1425812,13.2247284,13.4437572,13.0449044,12.7653368,13.2841572,13.4606284,12.7712528,13.2859636,13.4667432,13.3993144,12.8121804,12.6743888,12.7112584,12.0911,11.9284764,11.7786972,12.4488096,12.4488096,9.2982192,9.2982192,8.8741608,10.8798036,11.2714708,10.3456864,10.6734392,11.0415368,10.9986664,12.222348,12.1680272,10.288084,10.234016,10.3227832,10.9154324,13.8535244,14.8365772,13.6971,14.6195616,13.3345172,13.015416,16.092454,15.1811756,27.9874336,23.5145096,18.2084932,15.6725192,7.2326468,4.9285712,4.48024,3.4551684,3.4562304,8.391284,6.3500464,5.1779528,8.8097412,7.9733208,8.5422808,2.855344,8.1832012,9.2806424,9.3969716,6.0443744,5.9429432,4.5809868,3.2161164,2.6253792,1.99478,1.982922,1.7847628,1.1964368,0.0012544,-0.0185932,-0.4551816,-0.8225388,-0.8195572,-0.4180768,-0.3790176,0.5190432,1.1898912,0.004662,0.041998,0.0358824,0.080376,0.1811588,0.5523528,1.4148704,0.6478152,0.1697204,0.1445556,0.0245072,-1.423402,-1.4177184,-1.1873024,-0.6784624,-0.8144412,-0.446352,-0.763852,-0.84821,-0.8735036,-0.8727608,-0.8689576,-0.859898,-0.4373328,-0.865722,-0.7805832,-0.8526096,-0.820928,-0.820928,-0.415792,-0.4321644,-0.60222,-0.4961736,-0.4961736,-0.4373928,-0.1394256,-0.0423536,-0.0972232,-0.1986064,-0.4092224,-0.5240128,-0.4853816,-0.4998228,-0.8529872,-0.8613528,-0.8613528,-0.4814024,-0.409642,-0.4011412,-0.451804,-0.4043364,-0.7004108,-0.4418452,-0.3782208,-0.4162276,-0.4334328,-0.3499048,-0.2191792,-0.145434,-0.4516612,-0.7372908,-0.8746744,-0.8801588,-0.8965516,-0.945612,-0.8896556,-0.8897064,-0.4907148,-0.5128852,-0.509968,-0.8143528,-0.5021104,-0.4944368,-0.685478,-0.7071292,-1.3932284,-2.4929696,-0.5373464,-0.5843412,-0.3306876,-0.2307368,-0.2287048,-0.2297436,-0.5808584,-0.7723292,-0.3619416,-0.3463996,-0.6817388,-0.5158604,-0.798842,-0.5951728,-0.2388476,-0.4805756,-0.8663696,0.2356724
2026/6/12,EdgeCore Data Center,37.38413,-121.965744,JULIETTE_6_N003,0.7733616,0.0058872,0.1650856,0.9015476,1.283924,1.5644536,1.9866112,2.7038888,3.9045692,11.2910456,12.282946,13.6517512,5.4986912,8.095148,8.9213296,11.9987468,10.9727352,10.79873,10.07345,13.4533036,15.5411664,17.8008912,19.0823008,17.1453168,7.1466152,8.4370808,10.5718964,11.7583484,13.9089464,26.1171284,30.897632,32.081568,19.2307812,23.2563276,24.262468,28.0141364,18.0745612,18.1296372,20.070696,18.1023968,17.5881488,18.0562648,17.011182,17.5487176,17.8229076,17.368052,17.3460784,15.3946528,20.289668,20.289668,20.9082992,21.1542212,21.1199132,19.615196,18.554934,17.68598,11.1533664,10.6335508,9.8867904,11.1420576,13.8786324,12.7257936,12.5100132,12.8832016,13.5635404,13.4472984,13.446048,13.6758648,13.7081108,13.71156,13.9741092,13.9395256,14.3217824,15.4472404,13.7186916,15.5815528,15.4599632,16.1400188,15.6794072,14.8009508,14.5464156,13.8359552,15.3056616,15.620136,15.6612168,14.8558988,15.244978,15.2315472,15.2315472,15.2080272,16.0061872,15.5051648,15.5863064,15.16476,14.828156,14.3454384,15.2268824,15.2268824,14.2358416,14.364308,13.987972,13.0016412,13.2220756,11.7845076,11.400564,11.2720984,11.3154256,11.0814944,13.9919964,14.0228616,13.9356844,14.3760112,14.039696,14.2332496,13.2249424,13.2983496,13.4675512,13.131996,12.8259736,13.2562292,13.3906932,12.6918224,13.2031272,13.4247568,13.3521312,12.7387636,12.6257628,12.6439708,12.0194456,11.9830776,11.8738852,12.497394,12.497394,9.3312256,9.3312256,8.8558424,10.8854872,11.2244792,10.534884,10.8483712,11.1441684,11.0989556,12.3121708,12.230076,10.2211208,10.1629716,10.2618176,10.9498536,13.9501468,14.9255548,13.7942396,14.7071852,13.4352708,13.3379816,16.1648264,15.3331316,27.9331272,23.4656792,18.2823816,15.887092,7.3658724,5.0195112,4.5605288,3.5171084,3.5181904,8.526532,6.4516868,6.5885548,8.9480144,9.2115392,10.5012528,4.0020096,11.0665808,13.831452,14.0561104,9.7139268,9.9739144,8.0042312,6.9870196,6.3100668,4.6241736,4.6071984,4.3235104,3.620552,2.1920792,2.1332584,1.1901228,0.6366396,1.0772648,1.3669724,1.3938592,2.5999216,3.180322,1.911846,1.8747636,2.2117108,2.2825968,2.3652808,2.378722,3.3950744,2.3616612,1.750286,1.6594416,1.4954688,-0.761668,-0.7680448,-0.6988464,0.1067304,-0.0117124,0.4283768,-0.1450504,-0.2270288,-0.279112,-0.0791096,-0.0809196,-0.085322,0.4899288,-0.0210716,0.0804852,0.0175896,0.0554108,0.0554108,0.5180968,0.4985076,0.2950304,0.4421064,0.4421064,0.512426,0.7242016,0.8622256,0.7970144,0.6775688,0.4272048,0.29079,0.2457504,0.2824008,-0.1048844,-0.1143588,-0.1143588,0.332168,0.4002216,0.409362,0.3480944,0.4117016,0.0579568,0.361004,0.4409996,0.3955348,0.3749552,0.400116,0.5573544,0.6535832,0.513312,0.2648696,0.2241488,-0.2732876,-0.284568,-0.370318,-0.1899456,-0.2489176,0.2206448,0.2022864,0.2057208,-0.159986,0.2192836,0.2269136,-0.0052936,-0.0294888,-0.8494176,-2.1676232,0.305382,0.1259056,0.5910176,1.3279568,1.325104,1.3237064,0.8049992,0.5341264,1.1103884,1.1937384,0.6401664,0.7579732,0.5253992,0.7700376,1.3209472,1.0296004,0.4999476,2.1502004
2026/6/12,EdgeCore Data Center,37.38413,-121.965744,JULIETTE_6_N003,0.7733616,0.0058872,0.1650856,0.9015476,1.283924,1.5644536,1.9866112,2.7038888,3.9045692,11.2910456,12.282946,13.6517512,5.4986912,8.095148,8.9213296,11.9987468,10.9727352,10.79873,10.07345,13.4533036,15.5411664,17.8008912,19.0823008,17.1453168,7.1466152,8.4370808,10.5718964,11.7583484,13.9089464,26.1171284,30.897632,32.081568,19.2307812,23.2563276,24.262468,28.0141364,18.0745612,18.1296372,20.070696,18.1023968,17.5881488,18.0562648,17.011182,17.5487176,17.8229076,17.368052,17.3460784,15.3946528,20.289668,20.289668,20.9082992,21.1542212,21.1199132,19.615196,18.554934,17.68598,11.1533664,10.6335508,9.8867904,11.1420576,13.8786324,12.7257936,12.5100132,12.8832016,13.5635404,13.4472984,13.446048,13.6758648,13.7081108,13.71156,13.9741092,13.9395256,14.3217824,15.4472404,13.7186916,15.5815528,15.4599632,16.1400188,15.6794072,14.8009508,14.5464156,13.8359552,15.3056616,15.620136,15.6612168,14.8558988,15.244978,15.2315472,15.2315472,15.2080272,16.0061872,15.5051648,15.5863064,15.16476,14.828156,14.3454384,15.2268824,15.2268824,14.2358416,14.364308,13.987972,13.0016412,13.2220756,11.7845076,11.400564,11.2720984,11.3154256,11.0814944,13.9919964,14.0228616,13.9356844,14.3760112,14.039696,14.2332496,13.2249424,13.2983496,13.4675512,13.131996,12.8259736,13.2562292,13.3906932,12.6918224,13.2031272,13.4247568,13.3521312,12.7387636,12.6257628,12.6439708,12.0194456,11.9830776,11.8738852,12.497394,12.497394,9.3312256,9.3312256,8.8558424,10.8854872,11.2244792,10.534884,10.8483712,11.1441684,11.0989556,12.3121708,12.230076,10.2211208,10.1629716,10.2618176,10.9498536,13.9501468,14.9255548,13.7942396,14.7071852,13.4352708,13.3379816,16.1648264,15.3331316,27.9331272,23.4656792,18.2823816,15.887092,7.3658724,5.0195112,4.5605288,3.5171084,3.5181904,8.526532,6.4516868,6.5885548,8.9480144,9.2115392,10.5012528,4.0020096,11.0665808,13.831452,14.0561104,9.7139268,9.9739144,8.0042312,6.9870196,6.3100668,4.6241736,4.6071984,4.3235104,3.620552,2.1920792,2.1332584,1.1901228,0.6366396,1.0772648,1.3669724,1.3938592,2.5999216,3.180322,1.911846,1.8747636,2.2117108,2.2825968,2.3652808,2.378722,3.3950744,2.3616612,1.750286,1.6594416,1.4954688,-0.761668,-0.7680448,-0.6988464,0.1067304,-0.0117124,0.4283768,-0.1450504,-0.2270288,-0.279112,-0.0791096,-0.0809196,-0.085322,0.4899288,-0.0210716,0.0804852,0.0175896,0.0554108,0.0554108,0.5180968,0.4985076,0.2950304,0.4421064,0.4421064,0.512426,0.7242016,0.8622256,0.7970144,0.6775688,0.4272048,0.29079,0.2457504,0.2824008,-0.1048844,-0.1143588,-0.1143588,0.332168,0.4002216,0.409362,0.3480944,0.4117016,0.0579568,0.361004,0.4409996,0.3955348,0.3749552,0.400116,0.5573544,0.6535832,0.513312,0.2648696,0.2241488,-0.2732876,-0.284568,-0.370318,-0.1899456,-0.2489176,0.2206448,0.2022864,0.2057208,-0.159986,0.2192836,0.2269136,-0.0052936,-0.0294888,-0.8494176,-2.1676232,0.305382,0.1259056,0.5910176,1.3279568,1.325104,1.3237064,0.8049992,0.5341264,1.1103884,1.1937384,0.6401664,0.7579732,0.5253992,0.7700376,1.3209472,1.0296004,0.4999476,2.1502004
2026/6/12,ECL,37.39589,-122.047,MTVIEW_1_N005,2.4910092,1.4176488,1.6970528,2.5919204,3.4308352,3.8435132,4.5029132,5.504912,7.1554664,17.711358,18.9278724,20.38246,9.334476,13.4682688,13.779362,18.0536008,17.212408,16.7012112,14.7005448,18.6032344,21.1211112,23.552004,25.0874512,17.6766256,7.6013044,9.2417944,11.5840544,12.4953412,14.8451172,27.1149944,32.1032908,33.9190648,20.9164752,24.4319028,26.0412792,28.3364344,22.3420056,22.4615104,25.1023312,18.2698088,18.3475076,18.75168,17.1292808,17.607124,17.835348,17.3101928,17.4284688,15.9064352,20.2370352,20.2370352,20.4139348,20.2587984,20.231706,18.9640108,18.712428,17.9826072,11.4464028,10.93022,10.1626044,11.4529288,13.8937808,12.6830752,12.9035704,13.1928528,13.9774992,13.9058688,13.9485784,14.195136,14.1818876,14.2069412,14.4204692,14.3639608,15.2810056,16.188178,14.6241844,15.7906152,16.1429104,16.5736684,15.8888384,15.0408716,14.8129692,13.9210356,15.417242,15.7316912,16.256508,14.9824644,15.3748528,15.3595456,15.3595456,15.6550304,16.6392296,16.1255416,16.2451632,15.730776,15.374958,14.7894192,15.3809116,15.3809116,14.4376508,14.767148,14.4656448,13.4342704,13.3271408,11.8781176,11.5178764,11.4952204,11.599022,11.3924632,14.5585288,14.665964,14.6074808,15.1489584,14.7776424,15.120956,13.9278784,14.0266324,14.3236384,13.7774784,13.5120328,14.1717984,14.4104712,13.688398,14.2404976,14.3978628,14.332816,13.7414668,13.5420692,13.6038324,12.9493608,12.6326336,12.4212244,13.1944292,13.1944292,9.8197192,9.8197192,9.454074,11.5533184,12.0396624,10.7676764,11.1333224,11.612114,11.5895736,12.9049372,12.880404,11.0275672,10.9754272,11.0565856,11.6037656,14.6613936,15.7199688,14.5320608,15.5286728,14.1405476,13.5538888,17.1157824,16.0549648,30.0021528,25.2109896,19.3918928,16.4916572,7.5702744,5.1583032,4.687316,3.6148192,3.6159304,8.796676,6.6554444,8.8529516,9.2164536,11.282948,13.7598672,5.899524,15.8660664,21.3588524,21.7621372,15.7711896,16.631336,13.7016112,13.2214052,12.414106,8.943196,8.917814,8.4936408,7.6041144,5.7925832,5.670102,3.8924368,3.0328444,4.192464,4.3011232,4.3139096,6.0807928,6.466746,5.0468432,4.888094,5.787136,5.901404,5.9556368,5.3855788,6.6553344,5.184384,4.349952,4.1517072,3.9157264,0.3318568,0.3068924,0.1116912,1.4029236,1.3086016,1.8666504,0.869582,0.7915008,0.6957092,1.2271912,1.2169244,1.1922452,2.0167488,1.3695536,1.4981784,1.3929096,1.440568,1.440568,2.0512928,2.0264552,1.7684632,1.9513576,1.9513576,2.0402344,2.1438976,2.3491624,2.26694,2.1099776,1.794636,1.623,1.4572968,1.5774044,1.1266056,1.1170584,1.1170584,1.6813428,1.7291392,1.7392192,1.6605332,1.7518,1.3045992,1.6804608,1.7878376,1.730228,1.7041488,1.6042076,1.8032884,1.9351776,2.0893024,1.9021372,2.0197416,0.7130136,0.709134,0.5633896,0.9556408,0.8001496,1.3872328,1.3772308,1.3816016,0.9162556,1.4037692,1.4113268,1.1119856,1.07996,0.0404868,-1.6357032,1.6901952,1.2934216,2.1050792,3.8802124,3.8692728,3.8672792,3.0058848,2.6063704,3.4513864,3.6460016,2.738232,2.784558,2.6780652,2.987728,3.8686992,3.4142044,2.6572056,5.1824264
2026/6/12,Cerebras Systems Data Center,37.38112,-121.993,WHISMAN_1_N010,1.2957544,0.4341608,0.642626,1.4213696,1.9440112,2.2623412,2.7885544,3.5991404,4.9516836,13.6300532,14.6637452,15.9152152,6.8375472,9.9946648,10.487438,13.905368,12.9483216,12.9537876,12.2334616,15.782632,19.119282,21.40032,22.76165,19.1142648,7.8518064,9.3029064,11.4996452,12.234426,14.5357172,26.5200336,32.956682,33.8646672,21.758872,26.0751224,27.0889808,30.9130708,21.8804436,21.9844412,24.2618116,19.4017912,18.9084468,19.4112388,18.2594844,18.7954184,19.068028,18.5659,18.6956888,17.083302,21.09511,21.09511,21.3574392,21.281122,21.2467784,19.73816,19.8131212,19.0897612,12.876796,12.3672352,11.6166832,12.878324,14.1413784,12.8269312,13.1512452,13.5631316,14.41428,14.6482876,15.9646928,16.1944068,16.5144772,14.8353384,15.0828532,12.7913992,14.9902092,16.1131688,14.3457808,16.1251508,16.0532524,16.9707848,16.2194776,15.2977556,15.049686,14.0705196,15.6957312,16.0373196,15.9358412,14.6809144,15.0654048,15.0464028,15.0464028,15.3449076,16.3039348,15.8006664,15.9182176,15.4236872,15.0746872,14.4989376,15.0656972,15.0656972,14.1427164,14.4690204,14.1744532,13.1637276,13.0433352,11.62517,11.2730324,11.2548088,11.3585124,11.1573844,14.2729332,14.3788744,14.3218004,14.8595676,14.4949984,14.8346176,13.640828,13.7378972,14.0307112,13.5096648,13.2510928,13.904434,13.8024568,13.104214,12.07548,14.0513656,12.140028,13.43064,13.287938,12.3759192,11.1751336,11.4269644,11.2203992,11.9714548,11.9714548,7.5926524,7.5926524,7.303478,10.3900856,10.8611572,8.3231144,9.9768896,10.4446832,10.411856,11.6863436,10.884464,8.5423432,8.5013484,8.564968,8.992978,11.4064744,12.2435556,13.2471904,14.2124844,12.8679844,12.2853196,15.7498936,14.7176976,26.964632,23.1763704,18.56938,16.1775924,7.4252732,5.0595004,4.6009532,3.5482172,3.5493076,8.6170328,6.52193,7.2889852,9.0399568,9.8653928,11.5224376,4.5942824,12.5825352,16.1818636,16.4656332,11.6003892,12.053114,9.8138104,8.9462496,8.2395612,5.974872,5.9555224,5.6275776,4.8653412,3.314836,3.2357492,2.0290736,1.3785428,2.0431868,2.2769952,2.3050008,3.7147428,4.2150712,2.8898476,2.8125168,3.3251424,3.4096008,3.4797468,3.3108184,4.4056728,3.235184,2.5520356,2.4273252,2.2409464,-0.4241084,-0.4377068,-0.451186,0.503904,0.398324,0.8757528,0.1673836,0.08651,0.0204328,0.3275032,0.3223736,0.3100148,0.965738,0.4108176,0.5211036,0.4384136,0.4793392,0.4793392,0.9956956,0.9744376,0.7536132,0.9015428,0.9015428,0.9776916,1.158664,1.3172344,1.2468128,1.1234152,0.852824,0.7054788,0.641764,0.7038068,0.28078,0.274174,0.274174,0.7749644,0.815076,0.824476,0.7575812,0.8303752,0.4469728,0.7722388,0.8719636,0.8225508,0.8001804,0.7681856,0.9382956,1.0454604,1.0042648,0.7746616,0.783254,0.02931,0.019826,-0.0847796,0.1665812,0.0774072,0.583588,0.5709064,0.574696,0.1774188,0.5896416,0.597264,0.3432168,0.3148716,-0.575016,-2.0078468,0.7384776,0.4911804,1.0642504,2.1248208,2.1190924,2.1175072,1.458452,1.1475172,1.80737,1.9267792,1.2605972,1.3605904,1.1984596,1.4599588,2.1276732,1.7655704,1.1661664,3.0920836
