combined_ERCOT_lmp
deliveryDate,Data Center,Latitude,Longitude,settlementPoint,settlementPointType,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
2026-06-11,Open AI/ SoftBank Stargate Data Center (Lancium Clean Campus),32.50204,99.7907,ABINDUST_RN,RN,2.26,2.24,2.12,2.34,1.92,2.29,2.23,2.33,2.39,2.43,2.02,1.28,0.9,0.86,0.79,0.85,0.81,0.85,0.83,0.85,0.15,0.02,2.01,1.93,2.35,2.72,3.03,1.5,1.77,-0.15,-0.56,-0.98,-0.76,-1.15,-1.38,-1.69,3.1,0.49,2.4,0.6,-1.93,-2.17,-1.28,-0.57,-2.06,-2.4,-0.51,1.23,1.93,1.79,1.91,2.55,2.47,2.86,-3.31,-3.1,-2.69,-2,-1.89,-1.92,-1.53,-1.54,-1.61,-0.76,0.62,1.72,2.01,2.87,3.96,6.2,15.49,11.84,8.87,7.58,17.55,32.19,35.94,40.03,45.54,57.25,55.9,57.72,57.22,57.52,67.82,62.22,57.09,55.38,45.12,41.83,39.13,36.6,36.73,37.68,38.17,32.01
2026-06-11,Denton Data center,33.21948,97.2129,LIGSW_RN,RN,24.11,23.67,22.72,22.5,22.45,22.47,22.56,22.4,22.26,21.78,21.75,20.42,17.97,17.67,17.62,17.56,17.34,17.39,17.55,17.54,17.41,18.56,19.66,21.07,22.06,22.48,22.36,21.94,20.81,18.67,17.37,17.91,21.1,21.53,22.01,20.58,18.48,19.15,18.74,20.42,20.03,20.75,20.67,21.77,17.95,21.07,19.78,21.38,21.48,21.82,21.68,21.45,21.3,21.19,21.85,22.97,21.89,24.69,22.37,21.87,22.4,22.18,21.3,22.36,20.39,23.03,26.1,23.84,22.19,28.2,25.48,31.11,24.71,34.24,41.64,48.5,36.08,54.76,58.54,60.81,55.92,57.29,56.77,56.66,67.59,60.58,56.7,55.2,45.08,41.78,39.12,36.6,36.46,36.01,37.43,31.92
2026-06-11,QTS_Irving,32.89704,-96.9832,MGSES_CT123,RN,0.37,0.26,0.3,0.51,-0.05,0.11,0.15,0.29,0.79,0.97,0.77,0.18,0.1,0.08,-0.04,0.03,0.14,0.14,0.13,0.13,-0.46,-0.76,1.18,1,1.19,1.13,1.45,-0.19,-0.1,-2.23,-2.36,-2.63,-2.32,-2.74,-2.97,-3.32,-2.46,-2.74,-2.61,-2.92,-3.66,-3.99,-2.83,-3.34,-6.93,-5.18,-4.68,-3.88,-3.31,-3.48,-3.28,-3.01,-3.22,-2.8,-5.08,-4.89,-4.3,-3.35,-3.04,-3.22,-2.49,-2.47,-2.74,-2.66,-1.28,-0.16,0.21,1.44,2.67,5.41,16.45,12.62,9.27,7.94,18.98,35.57,40.31,45.49,50.25,60.22,57.49,57.87,57.37,58.17,69.07,64.05,57.38,55.44,45.13,41.85,39.13,36.6,37.03,39.52,38.99,32.15
2026-06-11,MARA Bitcoin Mining Data Center,32.341797,-97.731636,RN_DEC_AGR_A,RN,23.83,23.41,22.35,22.22,22.14,22.24,22.34,22.18,21.97,21.4,21.27,19.75,17.08,16.75,16.68,16.65,16.38,16.45,16.61,16.62,16.46,17.82,19.22,20.84,21.84,22.58,22.46,22,20.81,18.58,17.23,17.88,21.13,21.52,21.99,20.45,18.11,18.97,18.43,20.16,19.78,20.46,20.37,21.41,17.24,20.46,18.84,20.45,20.37,20.82,20.2,20.21,20.35,20.1,21.08,22.13,21.08,23.96,23.59,26.24,27.99,28.01,26.65,29.39,24.16,29.53,35.68,32.23,28.39,40.07,30.1,45.72,34.94,56.38,61.45,63.86,39.19,73.56,75.22,66.98,57.47,57.34,56.82,56.63,67.28,60.34,56.69,55.22,45.08,41.78,39.12,36.6,36.41,35.74,37.31,31.9
2026-06-11,fluidstack,32.396473,-100.91535,WHCCS_CC1,LCCRN,23.57,23.13,21.95,21.91,21.87,21.95,22.1,21.89,21.73,21.47,21.75,19.96,16.15,15.76,15.68,15.68,15.43,15.47,15.62,15.63,15.55,17.03,18.24,19.95,21.2,22.1,21.97,21.54,20.19,17.92,16.8,17.43,20.72,21.16,21.66,20.14,18.2,18.88,18.46,20.05,19.48,20.14,20.1,21.28,17.26,20.37,18.87,20.56,20.67,20.94,20.45,20.42,20.25,20.24,20.35,21.64,20.76,24.47,20.61,16.79,15.56,15.01,14.99,14.54,15.21,14.62,14.59,14.03,14.35,15.06,19.97,15.22,13.37,10.44,20.23,31.75,32.41,34.34,40.49,54.13,54.23,57.34,56.83,56.74,67.45,60.68,56.74,55.23,45.08,41.79,39.12,36.6,36.48,36.11,37.47,31.87
